plazo,periodo_gracia,cuotas,cuotas_capital,tasa_indexacion,valor_credito
36,0,6,6,IBR,2500000.0
120,4,20,16,IBR,20000000.0
120,2,20,18,IBR,7000000.0
12,0,1,1,IBR,20000000.0
82,9,14,5,IBR,4800000.0
24,0,2,2,IBR,11330000.0
96,2,16,14,IBR,10000000.0
36,0,6,6,IBR,3250000.0
36,0,6,6,IBR,3600000.0
36,0,6,6,IBR,3400000.0
36,0,6,6,IBR,3100000.0
36,0,6,6,IBR,7200000.0
36,0,6,6,IBR,20000000.0
24,4,8,4,IBR,25000000.0
94,9,15,6,IBR,4000000.0
82,8,13,5,IBR,8000000.0
88,8,14,6,IBR,18000000.0
64,6,10,4,IBR,15000000.0
64,6,10,4,IBR,6500000.0
72,2,12,10,IBR,8000000.0
96,2,16,14,IBR,25000000.0
72,2,12,10,IBR,20000000.0
72,2,12,10,IBR,16000000.0
58,5,9,4,IBR,4758000.0
58,5,9,4,IBR,20000000.0
60,2,10,8,IBR,15000000.0
72,0,12,12,IBR,10000000.0
98,1,9,8,DTF,7578770.0
37,3,8,5,DTF,5289532.0
144,6,24,18,IBR,12000000.0
72,2,12,10,IBR,12000000.0
36,3,6,3,IBR,2050000.0
12,0,1,1,IBR,10000000.0
96,2,16,14,IBR,9000000.0
60,0,10,10,IBR,4000000.0
48,0,8,8,IBR,5471325.0
15,0,1,1,IBR,3500000.0
18,0,1,1,IBR,3000000.0
76,8,13,5,IBR,3000000.0
12,0,1,1,IBR,11000000.0
18,1,3,2,IBR,20000000.0
21,0,4,4,DTF,5832889.0
24,2,4,2,IBR,2700000.0
72,0,12,12,IBR,10000000.0
72,2,12,10,IBR,15000000.0
24,0,4,4,IBR,3900000.0
23,2,5,3,DTF,3583382.0
10,0,1,1,IBR,25000000.0
12,11,12,1,IBR,4500000.0
7,0,7,7,IBR,4408308.0
23,0,22,22,IBR,2500000.0
60,0,10,10,IBR,14400000.0
60,0,10,10,IBR,6000000.0
42,3,7,4,DTF,5439505.0
72,2,12,10,IBR,25000000.0
60,1,10,9,DTF,8332842.0
96,2,16,14,IBR,1180000000.0
36,0,3,3,IBR,3210000.0
72,0,12,12,IBR,15000000.0
60,0,10,10,IBR,5000000.0
71,1,12,11,DTF,9601896.0
120,3,19,16,IBR,25000000.0
12,0,12,12,IBR,33867502.0
12,0,12,12,IBR,1078000.0
76,8,13,5,IBR,12000000.0
21,0,17,17,IBR,2503480.0
36,0,6,6,IBR,5000000.0
72,2,12,10,IBR,30000000.0
60,0,10,10,IBR,10000000.0
10,0,1,1,IBR,18000000.0
84,4,14,10,IBR,10000000.0
24,0,2,2,IBR,5660000.0
8,0,1,1,IBR,10000000.0
84,8,14,6,IBR,20000000.0
10,0,1,1,IBR,16000000.0
24,2,5,3,IBR,10000000.0
36,0,36,36,IBR,150000000.0
6,0,1,1,IBR,23000000.0
10,0,1,1,IBR,18000000.0
84,2,14,12,IBR,15000000.0
36,0,6,6,IBR,3990000.0
70,6,11,5,IBR,12000000.0
24,0,4,4,IBR,20000000.0
36,0,6,6,IBR,16000000.0
84,2,14,12,IBR,12000000.0
8,0,1,1,IBR,20000000.0
72,2,12,10,IBR,11000000.0
36,0,6,6,IBR,4600000.0
60,0,10,10,IBR,6000000.0
60,0,10,10,IBR,20000000.0
60,0,10,10,IBR,10000000.0
72,0,12,12,IBR,45000000.0
36,0,6,6,IBR,7000000.0
36,0,6,6,IBR,11000000.0
8,0,1,1,IBR,20000000.0
36,0,6,6,IBR,4500000.0
10,0,1,1,IBR,15000000.0
36,0,6,6,IBR,5500000.0
24,0,4,4,IBR,6000000.0
12,0,1,1,IBR,21000000.0
10,0,1,1,IBR,30000000.0
8,0,1,1,IBR,30000000.0
19,1,4,3,IBR,11417229.0
19,1,4,3,IBR,5933932.0
34,0,34,34,IBR,497722222.0
12,11,13,2,IBR,21400000.0
12,11,13,2,IBR,23285000.0
24,0,8,8,IBR,60000000.0
12,11,12,1,IBR,8000000.0
17,0,16,16,IBR,1500000.0
36,0,6,6,IBR,3200000.0
60,0,10,10,IBR,10000000.0
12,11,12,1,IBR,25000000.0
13,0,12,12,IBR,1000000.0
60,2,10,8,IBR,12000000.0
12,11,12,1,IBR,8000000.0
108,12,18,6,IBR,11000000.0
36,0,3,3,IBR,2800000.0
36,3,6,3,IBR,2250000.0
25,0,24,24,IBR,6200000.0
36,3,6,3,IBR,3400000.0
60,0,10,10,IBR,11000000.0
36,0,6,6,IBR,10000000.0
21,2,4,2,IBR,2350000.0
60,0,10,10,IBR,20000000.0
8,0,2,2,DTF,2367718.0
120,13,20,7,IBR,12000000.0
16,0,14,14,IBR,1112475.0
60,0,10,10,IBR,30000000.0
84,2,14,12,IBR,12000000.0
65,6,10,4,IBR,20000000.0
60,2,10,8,IBR,140000000.0
36,0,6,6,IBR,3100000.0
60,0,10,10,IBR,15000000.0
18,0,18,18,IBR,1554000.0
49,4,9,5,DTF,3373755.0
40,1,7,6,DTF,6774372.0
96,2,16,14,IBR,15000000.0
36,35,36,1,IBR,10000000.0
91,9,15,6,IBR,9000000.0
84,2,14,12,IBR,15000000.0
36,0,6,6,IBR,4000000.0
5,0,1,1,DTF,1500747.0
24,3,4,1,IBR,10000000.0
72,2,12,10,IBR,12000000.0
15,2,3,1,IBR,10218326.0
84,0,14,14,IBR,7750000.0
41,0,7,7,DTF,9017070.0
72,2,12,10,IBR,15000000.0
32,3,5,2,IBR,4400000.0
60,2,10,8,IBR,12400000.0
24,0,4,4,IBR,2500000.0
8,0,1,1,DTF,843199.0
24,2,4,2,IBR,3020000.0
60,0,10,10,IBR,12000000.0
24,0,4,4,IBR,3600000.0
49,5,8,3,IBR,15000000.0
36,0,7,7,IBR,6000000.0
60,0,10,10,IBR,16000000.0
36,0,6,6,IBR,9000000.0
60,0,10,10,IBR,7000000.0
72,2,12,10,IBR,11850000.0
19,0,18,18,IBR,2100000.0
36,0,12,12,IBR,3200000000.0
60,2,10,8,IBR,10000000.0
25,3,5,2,DTF,5065180.0
36,0,36,36,IBR,160377000.0
12,0,12,12,IBR,753600.0
36,0,36,36,IBR,8500000.0
24,0,4,4,IBR,21000000.0
18,0,18,18,IBR,1574970.0
10,0,1,1,IBR,2940000.0
12,11,12,1,IBR,2000000.0
12,11,12,1,IBR,2000000.0
12,11,12,1,IBR,43000000.0
12,11,12,1,IBR,7000000.0
30,29,30,1,IBR,2900000.0
18,0,3,3,IBR,60000000.0
24,0,24,24,IBR,178000000.0
36,0,36,36,IBR,30000000.0
82,6,13,7,IBR,19800000.0
78,1,13,12,IBR,20000000.0
81,8,13,5,IBR,5000000.0
72,2,12,10,IBR,70000000.0
10,0,1,1,IBR,11523000.0
18,0,1,1,IBR,18600000.0
65,0,11,11,IBR,19937015.0
35,0,6,6,IBR,11231362.0
84,2,14,12,IBR,20000000.0
36,0,6,6,IBR,4250000.0
60,0,10,10,IBR,15000000.0
36,3,6,3,IBR,3000000.0
72,2,12,10,IBR,10000000.0
18,0,1,1,IBR,12000000.0
46,0,8,8,DTF,9604209.0
72,2,12,10,IBR,8000000.0
132,8,22,14,IBR,5500000.0
96,2,16,14,IBR,12000000.0
36,0,6,6,IBR,1200000.0
24,4,8,4,IBR,25000000.0
84,2,14,12,IBR,15488000.0
72,2,12,10,IBR,25000000.0
12,0,1,1,IBR,16000000.0
18,0,1,1,IBR,5000000.0
35,34,35,1,IBR,10222600.0
24,0,4,4,IBR,21000000.0
36,0,6,6,IBR,1700000.0
12,0,1,1,IBR,5944287.0
24,0,24,24,IBR,200000000.0
1,0,1,1,IBR,5000000.0
36,0,6,6,IBR,4040000.0
60,0,10,10,IBR,288000000.0
36,0,6,6,IBR,93000000.0
23,0,3,3,DTF,6538345.0
47,0,8,8,IBR,40349243.0
12,11,12,1,IBR,300000.0
6,5,6,1,IBR,28977000.0
72,4,24,20,IBR,16250000.0
6,5,6,1,IBR,2500000.0
60,0,10,10,IBR,400000000.0
15,0,1,1,IBR,160000000.0
72,2,12,10,IBR,30000000.0
36,0,6,6,IBR,100000000.0
96,0,16,16,IBR,25000000.0
18,0,18,18,IBR,8508159.0
25,0,24,24,IBR,9600000.0
13,0,12,12,IBR,2500000.0
15,0,15,15,IBR,8805676.0
36,35,36,1,IBR,312900.0
18,17,18,1,IBR,7733280.0
6,5,6,1,IBR,50000000.0
19,18,19,1,IBR,2216000.0
36,35,36,1,IBR,140000000.0
25,24,25,1,IBR,2259056.0
6,5,6,1,IBR,40000000.0
25,24,25,1,IBR,5500000.0
25,24,25,1,IBR,5759056.0
36,4,12,8,IBR,19629521219.0
72,2,12,10,IBR,45500000.0
12,11,12,1,IBR,2000000.0
12,11,12,1,IBR,20000000.0
12,11,12,1,IBR,100000000.0
29,0,5,5,IBR,7874299.0
60,0,10,10,IBR,45000000.0
90,7,15,8,IBR,12437165.0
36,0,6,6,IBR,15000000.0
84,2,14,12,IBR,20000000.0
108,2,18,16,IBR,12000000.0
60,0,10,10,IBR,15000000.0
24,0,4,4,IBR,4262800.0
21,0,20,20,IBR,2060000.0
66,1,11,10,DTF,13332778.0
96,2,16,14,IBR,10500000.0
64,5,10,5,IBR,10000000.0
8,0,1,1,IBR,20700000.0
96,2,16,14,IBR,8000000.0
19,0,3,3,IBR,1673700.0
13,0,12,12,IBR,1049980.0
13,0,12,12,IBR,2024000.0
36,0,6,6,IBR,10000000.0
18,0,18,18,IBR,1081000.0
19,0,18,18,IBR,3211600.0
36,0,6,6,IBR,5000000.0
82,9,14,5,IBR,5000000.0
96,2,16,14,IBR,12000000.0
24,0,4,4,IBR,3500000.0
12,0,12,12,IBR,1200000.0
42,1,7,6,DTF,7949038.0
10,0,1,1,IBR,2000000.0
72,8,12,4,IBR,10000000.0
68,7,12,5,IBR,15000000.0
36,0,6,6,IBR,2500000.0
24,1,2,1,IBR,20000000.0
24,1,2,1,IBR,40000000.0
60,0,10,10,IBR,9312526.0
36,0,6,6,IBR,20000000.0
9,0,1,1,IBR,12000000.0
15,0,1,1,IBR,8800000.0
36,0,6,6,IBR,7000000.0
18,0,1,1,IBR,10000000.0
36,0,3,3,IBR,2000000.0
60,2,10,8,IBR,5500000.0
24,2,4,2,IBR,40000000.0
36,0,36,36,IBR,3600000.0
36,0,6,6,IBR,4000000.0
120,2,20,18,IBR,20000000.0
10,0,1,1,IBR,10000000.0
71,7,12,5,IBR,4000000.0
72,2,12,10,IBR,8000000.0
84,2,14,12,IBR,6000000.0
84,2,14,12,IBR,22000000.0
10,0,1,1,IBR,18000000.0
72,2,12,10,IBR,25000000.0
96,4,16,12,IBR,20000000.0
84,2,14,12,IBR,10000000.0
36,0,6,6,IBR,4500000.0
120,2,20,18,IBR,21000000.0
58,0,5,5,IBR,6857130.0
36,0,3,3,IBR,3700000.0
88,8,14,6,IBR,18000000.0
72,0,12,12,IBR,11000000.0
10,0,1,1,IBR,23000000.0
